track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P4,102,10200,pedestrian/bicycle,922.899,1011.381,4.911,-0.012
P4,103,10300,pedestrian/bicycle,923.395,1011.383,5.01,0.038
P4,104,10400,pedestrian/bicycle,923.901,1011.389,5.106,0.086
P4,105,10500,pedestrian/bicycle,924.415,1011.4,5.192,0.132
P4,106,10600,pedestrian/bicycle,924.938,1011.415,5.265,0.174
P4,107,10700,pedestrian/bicycle,925.468,1011.434,5.322,0.208
P4,108,10800,pedestrian/bicycle,926.002,1011.456,5.368,0.233
P4,109,10900,pedestrian/bicycle,926.541,1011.48,5.405,0.246
P4,110,11000,pedestrian/bicycle,927.083,1011.505,5.435,0.252
P4,111,11100,pedestrian/bicycle,927.627,1011.53,5.46,0.254
P4,112,11200,pedestrian/bicycle,928.174,1011.556,5.477,0.255
P4,113,11300,pedestrian/bicycle,928.723,1011.581,5.488,0.253
P4,114,11400,pedestrian/bicycle,929.272,1011.606,5.497,0.247
P4,115,11500,pedestrian/bicycle,929.822,1011.63,5.513,0.235
P4,116,11600,pedestrian/bicycle,930.375,1011.653,5.534,0.216
P4,117,11700,pedestrian/bicycle,930.929,1011.673,5.559,0.188
P4,118,11800,pedestrian/bicycle,931.487,1011.69,5.59,0.152
P4,119,11900,pedestrian/bicycle,932.047,1011.703,5.623,0.115
P4,120,12000,pedestrian/bicycle,932.611,1011.713,5.656,0.08
P4,121,12100,pedestrian/bicycle,933.179,1011.72,5.69,0.051
P4,122,12200,pedestrian/bicycle,933.749,1011.724,5.727,0.032
P4,123,12300,pedestrian/bicycle,934.324,1011.727,5.769,0.022
P4,124,12400,pedestrian/bicycle,934.904,1011.729,5.817,0.022
P4,125,12500,pedestrian/bicycle,935.488,1011.731,5.864,0.032
P4,126,12600,pedestrian/bicycle,936.076,1011.736,5.909,0.052
P4,127,12700,pedestrian/bicycle,936.669,1011.742,5.95,0.077
P4,128,12800,pedestrian/bicycle,937.266,1011.751,5.992,0.106
P4,129,12900,pedestrian/bicycle,937.868,1011.763,6.039,0.134
P4,130,13000,pedestrian/bicycle,938.474,1011.778,6.088,0.157
P4,131,13100,pedestrian/bicycle,939.085,1011.794,6.133,0.174
P4,132,13200,pedestrian/bicycle,939.7,1011.812,6.17,0.189
P4,133,13300,pedestrian/bicycle,940.319,1011.832,6.204,0.207
P4,134,13400,pedestrian/bicycle,940.941,1011.854,6.229,0.227
P4,135,13500,pedestrian/bicycle,941.564,1011.878,6.246,0.25
P4,136,13600,pedestrian/bicycle,942.19,1011.904,6.259,0.27
P4,137,13700,pedestrian/bicycle,942.816,1011.931,6.272,0.281
P4,138,13800,pedestrian/bicycle,943.444,1011.959,6.29,0.282
P4,139,13900,pedestrian/bicycle,944.075,1011.987,6.318,0.27
P4,140,14000,pedestrian/bicycle,944.708,1012.013,6.356,0.245
P4,141,14100,pedestrian/bicycle,945.346,1012.035,6.393,0.209
P4,142,14200,pedestrian/bicycle,945.987,1012.054,6.426,0.162
P4,143,14300,pedestrian/bicycle,946.631,1012.067,6.453,0.1
P4,144,14400,pedestrian/bicycle,947.277,1012.073,6.474,0.024
P4,145,14500,pedestrian/bicycle,947.926,1012.072,6.494,-0.06
P4,146,14600,pedestrian/bicycle,948.576,1012.061,6.514,-0.147
P4,147,14700,pedestrian/bicycle,949.228,1012.042,6.53,-0.229
P4,148,14800,pedestrian/bicycle,949.882,1012.016,6.539,-0.304
P4,149,14900,pedestrian/bicycle,950.536,1011.982,6.547,-0.37
P4,150,15000,pedestrian/bicycle,951.191,1011.942,6.559,-0.427
P4,151,15100,pedestrian/bicycle,951.848,1011.897,6.578,-0.477
P4,152,15200,pedestrian/bicycle,952.507,1011.847,6.602,-0.523
P4,153,15300,pedestrian/bicycle,953.169,1011.792,6.63,-0.571
P4,154,15400,pedestrian/bicycle,953.833,1011.733,6.663,-0.625
P4,155,15500,pedestrian/bicycle,954.501,1011.667,6.699,-0.687
P4,156,15600,pedestrian/bicycle,955.173,1011.595,6.735,-0.76
P4,157,15700,pedestrian/bicycle,955.848,1011.514,6.77,-0.848
P4,158,15800,pedestrian/bicycle,956.527,1011.424,6.801,-0.947
P4,159,15900,pedestrian/bicycle,957.208,1011.324,6.824,-1.055
P4,160,16000,pedestrian/bicycle,957.891,1011.213,6.839,-1.166
P4,161,16100,pedestrian/bicycle,958.575,1011.091,6.846,-1.279
P4,162,16200,pedestrian/bicycle,959.26,1010.957,6.845,-1.392
P4,163,16300,pedestrian/bicycle,959.944,1010.813,6.843,-1.505
P4,164,16400,pedestrian/bicycle,960.629,1010.656,6.842,-1.62
P4,165,16500,pedestrian/bicycle,961.313,1010.489,6.841,-1.734
P4,166,16600,pedestrian/bicycle,961.996,1010.309,6.834,-1.85
P4,167,16700,pedestrian/bicycle,962.679,1010.119,6.821,-1.968
P4,168,16800,pedestrian/bicycle,963.361,1009.916,6.806,-2.084
P4,169,16900,pedestrian/bicycle,964.04,1009.702,6.79,-2.193
P4,170,17000,pedestrian/bicycle,964.719,1009.478,6.777,-2.291
P4,171,17100,pedestrian/bicycle,965.396,1009.244,6.769,-2.38
P4,172,17200,pedestrian/bicycle,966.073,1009.002,6.763,-2.459
P4,173,17300,pedestrian/bicycle,966.749,1008.753,6.758,-2.526
P4,174,17400,pedestrian/bicycle,967.424,1008.498,6.755,-2.581
P4,175,17500,pedestrian/bicycle,968.1,1008.238,6.754,-2.624
P4,176,17600,pedestrian/bicycle,968.775,1007.974,6.757,-2.657
P4,177,17700,pedestrian/bicycle,969.451,1007.707,6.766,-2.679
P4,178,17800,pedestrian/bicycle,970.129,1007.438,6.783,-2.688
P4,179,17900,pedestrian/bicycle,970.808,1007.17,6.805,-2.684
P4,180,18000,pedestrian/bicycle,971.49,1006.902,6.831,-2.666
P4,181,18100,pedestrian/bicycle,972.175,1006.637,6.866,-2.639
P4,182,18200,pedestrian/bicycle,972.864,1006.375,6.909,-2.606
P4,183,18300,pedestrian/bicycle,973.557,1006.116,6.953,-2.566
P4,184,18400,pedestrian/bicycle,974.254,1005.862,6.996,-2.518
