track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1,100,pedestrian/bicycle,985.606,1046.828,-2.254,-2.438
P1,2,200,pedestrian/bicycle,985.38,1046.586,-2.266,-2.396
P1,3,300,pedestrian/bicycle,985.152,1046.349,-2.279,-2.354
P1,4,400,pedestrian/bicycle,984.924,1046.116,-2.289,-2.311
P1,5,500,pedestrian/bicycle,984.695,1045.886,-2.296,-2.271
P1,6,600,pedestrian/bicycle,984.465,1045.661,-2.302,-2.239
P1,7,700,pedestrian/bicycle,984.234,1045.438,-2.311,-2.221
P1,8,800,pedestrian/bicycle,984.002,1045.216,-2.325,-2.215
P1,9,900,pedestrian/bicycle,983.769,1044.994,-2.351,-2.223
P1,10,1000,pedestrian/bicycle,983.531,1044.77,-2.396,-2.253
P1,11,1100,pedestrian/bicycle,983.289,1044.543,-2.458,-2.302
P1,12,1200,pedestrian/bicycle,983.039,1044.309,-2.529,-2.359
P1,13,1300,pedestrian/bicycle,982.783,1044.07,-2.605,-2.423
P1,14,1400,pedestrian/bicycle,982.519,1043.825,-2.672,-2.485
P1,15,1500,pedestrian/bicycle,982.249,1043.574,-2.718,-2.54
P1,16,1600,pedestrian/bicycle,981.976,1043.317,-2.743,-2.585
P1,17,1700,pedestrian/bicycle,981.702,1043.057,-2.749,-2.617
P1,18,1800,pedestrian/bicycle,981.427,1042.795,-2.736,-2.628
P1,19,1900,pedestrian/bicycle,981.155,1042.533,-2.712,-2.619
P1,20,2000,pedestrian/bicycle,980.885,1042.272,-2.682,-2.589
P1,21,2100,pedestrian/bicycle,980.619,1042.016,-2.65,-2.543
P1,22,2200,pedestrian/bicycle,980.355,1041.764,-2.623,-2.49
P1,23,2300,pedestrian/bicycle,980.094,1041.518,-2.608,-2.44
P1,24,2400,pedestrian/bicycle,979.833,1041.275,-2.607,-2.403
P1,25,2500,pedestrian/bicycle,979.571,1041.036,-2.628,-2.393
P1,26,2600,pedestrian/bicycle,979.305,1040.795,-2.687,-2.424
P1,27,2700,pedestrian/bicycle,979.032,1040.549,-2.789,-2.498
P1,28,2800,pedestrian/bicycle,978.746,1040.294,-2.92,-2.598
P1,29,2900,pedestrian/bicycle,978.448,1040.029,-3.04,-2.69
P1,30,3000,pedestrian/bicycle,978.14,1039.758,-3.117,-2.739
P1,31,3100,pedestrian/bicycle,977.827,1039.484,-3.144,-2.738
P1,32,3200,pedestrian/bicycle,977.513,1039.212,-3.129,-2.7
P1,33,3300,pedestrian/bicycle,977.203,1038.945,-3.089,-2.642
P1,34,3400,pedestrian/bicycle,976.896,1038.684,-3.036,-2.576
P1,35,3500,pedestrian/bicycle,976.596,1038.43,-2.979,-2.501
