track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P3,176,17600,pedestrian/bicycle,923.254,1010.944,6.369,0.245
P3,177,17700,pedestrian/bicycle,923.889,1010.969,6.334,0.242
P3,178,17800,pedestrian/bicycle,924.521,1010.993,6.303,0.241
P3,179,17900,pedestrian/bicycle,925.15,1011.017,6.279,0.243
P3,180,18000,pedestrian/bicycle,925.777,1011.041,6.267,0.248
P3,181,18100,pedestrian/bicycle,926.404,1011.067,6.268,0.257
P3,182,18200,pedestrian/bicycle,927.031,1011.093,6.285,0.273
P3,183,18300,pedestrian/bicycle,927.661,1011.122,6.308,0.293
P3,184,18400,pedestrian/bicycle,928.293,1011.152,6.331,0.313
P3,185,18500,pedestrian/bicycle,928.927,1011.184,6.351,0.33
P3,186,18600,pedestrian/bicycle,929.563,1011.218,6.363,0.344
P3,187,18700,pedestrian/bicycle,930.199,1011.253,6.368,0.356
P3,188,18800,pedestrian/bicycle,930.837,1011.289,6.374,0.365
P3,189,18900,pedestrian/bicycle,931.474,1011.325,6.381,0.371
P3,190,19000,pedestrian/bicycle,932.113,1011.363,6.395,0.376
P3,191,19100,pedestrian/bicycle,932.754,1011.4,6.416,0.378
P3,192,19200,pedestrian/bicycle,933.396,1011.438,6.438,0.38
P3,193,19300,pedestrian/bicycle,934.041,1011.477,6.459,0.384
P3,194,19400,pedestrian/bicycle,934.688,1011.515,6.48,0.388
P3,195,19500,pedestrian/bicycle,935.337,1011.554,6.502,0.387
P3,196,19600,pedestrian/bicycle,935.989,1011.592,6.522,0.378
P3,197,19700,pedestrian/bicycle,936.641,1011.629,6.537,0.36
P3,198,19800,pedestrian/bicycle,937.296,1011.664,6.548,0.336
P3,199,19900,pedestrian/bicycle,937.951,1011.696,6.554,0.313
P3,200,20000,pedestrian/bicycle,938.606,1011.727,6.553,0.294
P3,201,20100,pedestrian/bicycle,939.261,1011.755,6.547,0.28
P3,202,20200,pedestrian/bicycle,939.915,1011.783,6.536,0.268
P3,203,20300,pedestrian/bicycle,940.568,1011.809,6.52,0.259
P3,204,20400,pedestrian/bicycle,941.219,1011.835,6.498,0.252
P3,205,20500,pedestrian/bicycle,941.867,1011.86,6.463,0.246
P3,206,20600,pedestrian/bicycle,942.511,1011.884,6.411,0.234
P3,207,20700,pedestrian/bicycle,943.148,1011.906,6.343,0.216
P3,208,20800,pedestrian/bicycle,943.778,1011.926,6.258,0.19
P3,209,20900,pedestrian/bicycle,944.399,1011.944,6.152,0.161
P3,210,21000,pedestrian/bicycle,945.008,1011.959,6.028,0.131
P3,211,21100,pedestrian/bicycle,945.604,1011.97,5.893,0.105
P3,212,21200,pedestrian/bicycle,946.186,1011.979,5.749,0.078
P3,213,21300,pedestrian/bicycle,946.753,1011.986,5.6,0.05
P3,214,21400,pedestrian/bicycle,947.306,1011.989,5.454,0.021
P3,215,21500,pedestrian/bicycle,947.845,1011.99,5.323,-0.011
P3,216,21600,pedestrian/bicycle,948.372,1011.987,5.214,-0.044
