track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P28,801,80100,pedestrian/bicycle,922.701,1011.865,4.899,0.2
P28,802,80200,pedestrian/bicycle,923.191,1011.883,4.894,0.164
P28,803,80300,pedestrian/bicycle,923.681,1011.898,4.904,0.129
P28,804,80400,pedestrian/bicycle,924.174,1011.909,4.946,0.099
P28,805,80500,pedestrian/bicycle,924.673,1011.918,5.033,0.08
P28,806,80600,pedestrian/bicycle,925.182,1011.926,5.155,0.073
P28,807,80700,pedestrian/bicycle,925.703,1011.934,5.263,0.082
P28,808,80800,pedestrian/bicycle,926.232,1011.943,5.329,0.105
P28,809,80900,pedestrian/bicycle,926.767,1011.955,5.37,0.135
P28,810,81000,pedestrian/bicycle,927.306,1011.97,5.404,0.168
P28,811,81100,pedestrian/bicycle,927.848,1011.988,5.428,0.2
P28,812,81200,pedestrian/bicycle,928.391,1012.01,5.437,0.228
P28,813,81300,pedestrian/bicycle,928.935,1012.034,5.449,0.254
P28,814,81400,pedestrian/bicycle,929.48,1012.061,5.454,0.282
P28,815,81500,pedestrian/bicycle,930.025,1012.09,5.443,0.311
P28,816,81600,pedestrian/bicycle,930.569,1012.123,5.425,0.341
P28,817,81700,pedestrian/bicycle,931.11,1012.158,5.405,0.368
P28,818,81800,pedestrian/bicycle,931.65,1012.196,5.386,0.389
P28,819,81900,pedestrian/bicycle,932.187,1012.236,5.368,0.403
P28,820,82000,pedestrian/bicycle,932.723,1012.277,5.351,0.412
P28,821,82100,pedestrian/bicycle,933.257,1012.318,5.334,0.418
P28,822,82200,pedestrian/bicycle,933.79,1012.36,5.316,0.424
P28,823,82300,pedestrian/bicycle,934.321,1012.403,5.299,0.428
P28,824,82400,pedestrian/bicycle,934.85,1012.446,5.281,0.429
P28,825,82500,pedestrian/bicycle,935.377,1012.488,5.261,0.423
P28,826,82600,pedestrian/bicycle,935.902,1012.53,5.24,0.408
P28,827,82700,pedestrian/bicycle,936.425,1012.57,5.224,0.384
P28,828,82800,pedestrian/bicycle,936.947,1012.607,5.216,0.356
P28,829,82900,pedestrian/bicycle,937.469,1012.641,5.218,0.327
P28,830,83000,pedestrian/bicycle,937.991,1012.672,5.237,0.296
P28,831,83100,pedestrian/bicycle,938.517,1012.7,5.279,0.264
P28,832,83200,pedestrian/bicycle,939.047,1012.724,5.324,0.23
P28,833,83300,pedestrian/bicycle,939.582,1012.746,5.36,0.195
P28,834,83400,pedestrian/bicycle,940.12,1012.764,5.399,0.164
P28,835,83500,pedestrian/bicycle,940.662,1012.779,5.45,0.138
P28,836,83600,pedestrian/bicycle,941.209,1012.791,5.497,0.117
P28,837,83700,pedestrian/bicycle,941.76,1012.802,5.526,0.099
P28,838,83800,pedestrian/bicycle,942.314,1012.811,5.54,0.082
P28,839,83900,pedestrian/bicycle,942.868,1012.818,5.542,0.065
P28,840,84000,pedestrian/bicycle,943.422,1012.824,5.531,0.047
P28,841,84100,pedestrian/bicycle,943.974,1012.828,5.51,0.027
P28,842,84200,pedestrian/bicycle,944.523,1012.829,5.479,0.002
P28,843,84300,pedestrian/bicycle,945.069,1012.828,5.444,-0.027
P28,844,84400,pedestrian/bicycle,945.612,1012.824,5.408,-0.059
P28,845,84500,pedestrian/bicycle,946.151,1012.816,5.376,-0.094
P28,846,84600,pedestrian/bicycle,946.687,1012.805,5.35,-0.133
P28,847,84700,pedestrian/bicycle,947.221,1012.789,5.332,-0.176
P28,848,84800,pedestrian/bicycle,947.754,1012.769,5.322,-0.226
P28,849,84900,pedestrian/bicycle,948.286,1012.744,5.32,-0.28
P28,850,85000,pedestrian/bicycle,948.819,1012.713,5.333,-0.334
P28,851,85100,pedestrian/bicycle,949.353,1012.677,5.355,-0.382
P28,852,85200,pedestrian/bicycle,949.89,1012.637,5.376,-0.42
P28,853,85300,pedestrian/bicycle,950.429,1012.594,5.41,-0.454
P28,854,85400,pedestrian/bicycle,950.973,1012.546,5.468,-0.487
P28,855,85500,pedestrian/bicycle,951.523,1012.496,5.533,-0.515
P28,856,85600,pedestrian/bicycle,952.08,1012.444,5.595,-0.541
P28,857,85700,pedestrian/bicycle,952.641,1012.388,5.64,-0.569
P28,858,85800,pedestrian/bicycle,953.206,1012.329,5.662,-0.603
P28,859,85900,pedestrian/bicycle,953.773,1012.267,5.676,-0.646
P28,860,86000,pedestrian/bicycle,954.341,1012.2,5.669,-0.696
P28,861,86100,pedestrian/bicycle,954.906,1012.127,5.631,-0.754
P28,862,86200,pedestrian/bicycle,955.466,1012.049,5.575,-0.817
P28,863,86300,pedestrian/bicycle,956.021,1011.964,5.516,-0.881
P28,864,86400,pedestrian/bicycle,956.57,1011.873,5.469,-0.947
P28,865,86500,pedestrian/bicycle,957.116,1011.774,5.447,-1.018
P28,866,86600,pedestrian/bicycle,957.66,1011.669,5.438,-1.089
P28,867,86700,pedestrian/bicycle,958.203,1011.557,5.432,-1.158
P28,868,86800,pedestrian/bicycle,958.746,1011.437,5.42,-1.226
P28,869,86900,pedestrian/bicycle,959.287,1011.312,5.394,-1.292
P28,870,87000,pedestrian/bicycle,959.825,1011.179,5.372,-1.36
P28,871,87100,pedestrian/bicycle,960.362,1011.039,5.37,-1.432
P28,872,87200,pedestrian/bicycle,960.9,1010.892,5.39,-1.507
